sentences,count,percentage,Local/Nonlocal,user_state_NLP
total,73048,N/A,Local,Florida
positive,34111,46.69669258569707,Local,Florida
negative,8090,11.074909648450335,Local,Florida
neutral,30847,42.22839776585259,Local,Florida
total,414479,N/A,Nonlocal,Florida
positive,197635,47.68275352912934,Nonlocal,Florida
negative,47858,11.54654397448363,Nonlocal,Florida
neutral,168986,40.77070249638703,Nonlocal,Florida
