sentences,count,percentage,Local/Nonlocal,user_state_NLP
total,5804,N/A,Local,Alabama
positive,1918,33.04617505168849,Local,Alabama
negative,519,8.9421088904204,Local,Alabama
neutral,3367,58.01171605789111,Local,Alabama
total,80517,N/A,Nonlocal,Alabama
positive,32455,40.30825788342835,Nonlocal,Alabama
negative,8495,10.550566961014445,Nonlocal,Alabama
neutral,39567,49.14117515555721,Nonlocal,Alabama
