sentences,count,percentage,Local/Nonlocal,user_state_NLP
total,9817,N/A,Local,Louisiana
positive,4848,49.38372211469899,Local,Louisiana
negative,1048,10.675359070999287,Local,Louisiana
neutral,3921,39.940918814301725,Local,Louisiana
total,82399,N/A,Nonlocal,Louisiana
positive,39599,48.057622058520124,Nonlocal,Louisiana
negative,9205,11.171252078301922,Nonlocal,Louisiana
neutral,33595,40.77112586317796,Nonlocal,Louisiana
